ten_quan,url_goc,diem,noi_dung,user
Hoàng Ty Group - Đặc Sản Trảng Bàng - Mạc Đĩnh Chi,https://www.foody.vn/ho-chi-minh/hoang-ty-group-dac-san-trang-bang-mac-dinh-chi,5.0,"Quán có rau rất tươi và nhiều, thịt mềm, đặt biệt là nước chấm rất đậm đà.",Oanh Cao
Hoàng Ty Group - Đặc Sản Trảng Bàng - Mạc Đĩnh Chi,https://www.foody.vn/ho-chi-minh/hoang-ty-group-dac-san-trang-bang-mac-dinh-chi,9.2,Sạch sẽ. Thực phẩm tươi ngon. Hương vị chất lượng ổn định của Hoàng Ty.,Kiên Trần Trung
Hoàng Ty Group - Đặc Sản Trảng Bàng - Mạc Đĩnh Chi,https://www.foody.vn/ho-chi-minh/hoang-ty-group-dac-san-trang-bang-mac-dinh-chi,9.6,"lần đầu tiên ghé quán này ăn, mấy bạn phục vụ với anh giữ xe dễ thương ghê luôn vô cửa ai cũng chào thích thật, quán trang trí rất đẹp hình như mới mở, cái gì cũng mới tinh. lần sau có dịp sẽ dắt thêm đồng bọn qua ăn tiếp",Cuong Nguyen
Hoàng Ty Group - Đặc Sản Trảng Bàng - Mạc Đĩnh Chi,https://www.foody.vn/ho-chi-minh/hoang-ty-group-dac-san-trang-bang-mac-dinh-chi,10.0,Ghé lại hoàng ty một lần nữa để thưởng thức lại những món ăn đặc sản của quán. Nhân viên phục vụ tốt món ăn ra nhanh rau sạch sẽ,Hạnh Hồng
Hoàng Ty Group - Đặc Sản Trảng Bàng - Mạc Đĩnh Chi,https://www.foody.vn/ho-chi-minh/hoang-ty-group-dac-san-trang-bang-mac-dinh-chi,9.6,"Lần đầu tiên đi ăn được chụp chung với nghệ Sỹ :))
Đồ ăn ngon, các bạn phục vụ dễ thương ghê luôn. Sẽ quay lại và tụ tập thêm đông bọn lại ăn tiếp",An Thanh
Hoàng Ty Group - Đặc Sản Trảng Bàng - Mạc Đĩnh Chi,https://www.foody.vn/ho-chi-minh/hoang-ty-group-dac-san-trang-bang-mac-dinh-chi,9.2,"Quán khá mới và đẹp, sạch sẽ. Thức ăn ngon ,thịt rau rất tươi và sạch.
Nhân viên chu đáo , nhiệt tình.",Ân Hoàng
Hoàng Ty Group - Đặc Sản Trảng Bàng - Mạc Đĩnh Chi,https://www.foody.vn/ho-chi-minh/hoang-ty-group-dac-san-trang-bang-mac-dinh-chi,10.0,Gia đình tôi gần đây nên tôi có ghé qua ăn cảm thấy rất thoải mái với cách phục vụ và hài lòng với những món ăn..nói chung tuyệt vời..,Võ Sơn
Hoàng Ty Group - Đặc Sản Trảng Bàng - Mạc Đĩnh Chi,https://www.foody.vn/ho-chi-minh/hoang-ty-group-dac-san-trang-bang-mac-dinh-chi,9.4,"Không gian quán mới nên quá tuyệt. 
Đồ ăn ngon phù hợp
Phục vụ không chỗ nào để chê_ Tận tình chu đáo với khách. 
Điểm 10.",Foodee_6gwlydfq
Hoàng Ty Group - Đặc Sản Trảng Bàng - Mạc Đĩnh Chi,https://www.foody.vn/ho-chi-minh/hoang-ty-group-dac-san-trang-bang-mac-dinh-chi,1.0,"✋🏻Cẩn thận‼️
Phục vụ đồ chấm cũ, ôi thiu mà không hề quan tâm đến sức khoẻ của khách hàng. Những ai ăn tại đây nhớ kiểm tra kĩ đồ ăn trước khi sử dụng vì quán không hề quan tâm.

✋🏻Be careful‼️
Serving old, spoiled dips without any concern for customers' health. Those who eat here remember to carefully check the food before using it because the restaurant doesn't care.

✋🏻小心哦‼️
供应陈旧、变质的蘸酱，完全不关心顾客的健康。在这里吃饭的人记得在使用食物之前仔细检查食物，因为餐厅不在乎。

✋🏻조심하세요️
고객의 건강을 걱정하지 않고 오래되고 상한 딥을 제공합니다. 이곳에서 식사하시는 분들은 식당에서 신경쓰지 않으니, 음식을 이용하기 전 꼼꼼히 확인하는 것을 잊지 마세요.",Huy Lê
Hoàng Ty Group - Đặc Sản Trảng Bàng - Mạc Đĩnh Chi,https://www.foody.vn/ho-chi-minh/hoang-ty-group-dac-san-trang-bang-mac-dinh-chi,1.0,"Hôm qua mình qua đây ăn với bạn, do bạn mình niềng răng nên phải cắt nhỏ thịt cuốn bánh tráng ra thì có con giun trong rau rớt ra chén. Khi nói nhân viên thì họ bảo đổi cho rau khác và sẽ làm sạch hơn nhưng do ám ảnh nên không ai dám ăn nữa. Mà cũng không nhận được lời xin lỗi. THẤT VỌNG VÀ SẼ KHÔNG QUAY LẠI",Anh Hà
Hoàng Ty Group - Đặc Sản Trảng Bàng - Mạc Đĩnh Chi,https://www.foody.vn/ho-chi-minh/hoang-ty-group-dac-san-trang-bang-mac-dinh-chi,2.8,"Rau mang ra tiết kiệm, lèo lèo 
Đồ ăn mang chậm
Lúc tính tiền khách muốn dùng mã QR thì bảo hư rồi
Giả sử Kh ko mang tiền mặt thì như thế nào?

KÉM",Bảo Toàn
Hoàng Ty Group - Đặc Sản Trảng Bàng - Mạc Đĩnh Chi,https://www.foody.vn/ho-chi-minh/hoang-ty-group-dac-san-trang-bang-mac-dinh-chi,4.0,"Sau khi ăn 1 tô bánh canh (cũng ok, ko có gì đặc sắc lắm) và 2 chén chè khúc bạch, hết khoảng gần 170K, mình đưa 500K, nhân viên thối lại khoang 230K. Sau khi mình hỏi nói bị thiếu tiền, nhân viên ko hề kiểm lại là bị thiếu bao nhiêu, chạy vô lấy thêm 100K ra đưa (sao biết thiếu 100K?), mà cũng ko xin lỗi khách.",Hoa Dinh
Hoàng Ty Group - Đặc Sản Trảng Bàng - Mạc Đĩnh Chi,https://www.foody.vn/ho-chi-minh/hoang-ty-group-dac-san-trang-bang-mac-dinh-chi,1.4,"12h00, đến quán order 6 phần thịt bắp , 3 phần bò lá lốp, 3 phần cá nướng. Phục vụ có cảnh báo là cá nướng hơi lâu, anh chị vui lòng đợi 30 phút mới có. OK chấp nhận chờ
12h30, mới được phụ vụ 6 phần thịt bắp đầu tiên.
12h45, thịt bắp đã ăn xong nhưng vẫn chưa có món mới...
Lúc này gọi nv hỏi lên món bò lá lốp thì mới được trả lời ""Hôm nay quán không có món này"".??? ?? Cảm thấy hơi bực khi không được nv báo sớm để chọn món khác
Sau đó, gọi nv lên món cá nướng thì được trả lời là ""5 phút nữa, Cá sắp xong rồi ạ""
10-15 phút trôi qua, lúc này là 13h00, hỏi nv là sao món cá chưa có, lúc này mới được thông báo là ""lò nướng bị hỏng nên Cá chưa xong"", sau đó mình mới hỏi tiếp là ""Vậy cá nướng được đến đâu rồi và phải chờ bao lâu nữa"" thì được trả lời là ""Cá chưa được nướng luôn ạ"" ??????
-----------
Không biết nên nói thế nào với cách phục vụ có 1 không 2 này. 
Mình sẽ không bao giờ quay lại quán bất cứ lần nào nữa.",An Tran
Hoàng Ty Group - Đặc Sản Trảng Bàng - Mạc Đĩnh Chi,https://www.foody.vn/ho-chi-minh/hoang-ty-group-dac-san-trang-bang-mac-dinh-chi,10.0,"Đến với nhà hàng Hoàng Ty, bạn sẽ được thưởng thức đặc sản là các loại thịt được cuốn trong bánh tráng Trảng Bàng phơi sương, cùng các loại rau rừng đặc biệt được vận chuyển trực tiếp từ miền Nam và lưu trữ trong phòng lạnh, nhằm giữ được độ tươi ngon và đảm bảo an toàn vệ sinh thực phẩm. Ngoài ra cách phục vụ của các bạn ở nhà hàng rất tận tình và chuyên nghiệp.. sẽ đến ăn dài dài.",Thunhi Nguyễn
Hoàng Ty Group - Đặc Sản Trảng Bàng - Mạc Đĩnh Chi,https://www.foody.vn/ho-chi-minh/hoang-ty-group-dac-san-trang-bang-mac-dinh-chi,10.0,Nhân viên phục vụ tốt. Món ăn ngon. Rau sạch. Quán thoáng mát.,Huy Hoàng Nguyễn
