url_goc,ten_mon,gia,anh_mon
https://www.foody.vn/ho-chi-minh/hoang-ty-group-dac-san-trang-bang-mac-dinh-chi,Bánh Canh Giò Gân + 1 Pepsi,123.000đ,https://down-bs-vn.img.susercontent.com/vn-11134517-820l4-mgbqdpe8wm4vec
https://www.foody.vn/ho-chi-minh/hoang-ty-group-dac-san-trang-bang-mac-dinh-chi,Bánh Canh Thịt Bắp + 1 Pepsi,123.000đ,https://down-bs-vn.img.susercontent.com/vn-11134517-820l4-mgbqalo8oz622b
https://www.foody.vn/ho-chi-minh/hoang-ty-group-dac-san-trang-bang-mac-dinh-chi,Bánh Canh Thịt Nạc + 1 Pepsi,123.000đ,https://down-bs-vn.img.susercontent.com/vn-11134517-820l4-mgbqcjve1nnx09
https://www.foody.vn/ho-chi-minh/hoang-ty-group-dac-san-trang-bang-mac-dinh-chi,Bánh Tráng Thịt Bắp - 2 Người + 2 Pepsi,427.000đ,https://down-bs-vn.img.susercontent.com/vn-11134517-820l4-mgbqfylub09b87
https://www.foody.vn/ho-chi-minh/hoang-ty-group-dac-san-trang-bang-mac-dinh-chi,Bánh Tráng Thịt Bắp - 2 Người,371.000đ,https://down-bs-vn.img.susercontent.com/vn-11134517-7r98o-lqxn0wtmevgkb6
https://www.foody.vn/ho-chi-minh/hoang-ty-group-dac-san-trang-bang-mac-dinh-chi,Bánh Tráng Thịt Bắp - 1 Người,235.000đ,https://down-bs-vn.img.susercontent.com/vn-11134517-7r98o-lqx55zw4n8ux63
https://www.foody.vn/ho-chi-minh/hoang-ty-group-dac-san-trang-bang-mac-dinh-chi,Bánh Tráng Thịt Bắp + Đùi,371.000đ,https://down-bs-vn.img.susercontent.com/vn-11134517-7r98o-lqxbm423z8hw2f
https://www.foody.vn/ho-chi-minh/hoang-ty-group-dac-san-trang-bang-mac-dinh-chi,Bánh Tráng Tai Heo + Thịt Bắp,371.000đ,https://down-bs-vn.img.susercontent.com/vn-11134517-7r98o-lqxbbxxfrjycfc
https://www.foody.vn/ho-chi-minh/hoang-ty-group-dac-san-trang-bang-mac-dinh-chi,Bánh Tráng Tai Heo - 1 Người,235.000đ,https://down-bs-vn.img.susercontent.com/vn-11134505-7ra0g-m9fezlygqvk4c3
https://www.foody.vn/ho-chi-minh/hoang-ty-group-dac-san-trang-bang-mac-dinh-chi,Bánh Tráng Thịt Bắp + Nạc,371.000đ,https://down-bs-vn.img.susercontent.com/vn-11134517-7r98o-lqxbb0j6mwn896
https://www.foody.vn/ho-chi-minh/hoang-ty-group-dac-san-trang-bang-mac-dinh-chi,Bánh Tráng Tai Heo - 2 Người,371.000đ,https://down-bs-vn.img.susercontent.com/vn-11134505-7ra0g-m9ff9s0n26bra3
https://www.foody.vn/ho-chi-minh/hoang-ty-group-dac-san-trang-bang-mac-dinh-chi,Bánh Tráng Thịt Đùi - 1 Người,235.000đ,https://down-bs-vn.img.susercontent.com/vn-11134505-7ra0g-m9ff19pdcoxwd2
https://www.foody.vn/ho-chi-minh/hoang-ty-group-dac-san-trang-bang-mac-dinh-chi,Bánh Tráng Thịt Đùi - 2 Người,371.000đ,https://down-bs-vn.img.susercontent.com/vn-11134517-7r98o-lqxnnnxfsfk457
https://www.foody.vn/ho-chi-minh/hoang-ty-group-dac-san-trang-bang-mac-dinh-chi,Bánh Tráng Thịt Nạc - 2 Người,371.000đ,https://down-bs-vn.img.susercontent.com/vn-11134505-7ra0g-m9ff90u0u9hj11
https://www.foody.vn/ho-chi-minh/hoang-ty-group-dac-san-trang-bang-mac-dinh-chi,Bánh Tráng Thịt Nạc - 1 Người,235.000đ,https://down-bs-vn.img.susercontent.com/vn-11134505-7ra0g-m9ff8d7lerfycd
https://www.foody.vn/ho-chi-minh/hoang-ty-group-dac-san-trang-bang-mac-dinh-chi,Bánh Tráng Thịt Đùi + Thịt Nạc,371.000đ,https://down-bs-vn.img.susercontent.com/vn-11134517-7r98o-lqxbbxbsn83od0
https://www.foody.vn/ho-chi-minh/hoang-ty-group-dac-san-trang-bang-mac-dinh-chi,Bánh Tráng Tai Heo + Thịt Đùi,371.000đ,https://down-bs-vn.img.susercontent.com/vn-11134517-7r98o-lqxfrl6tf9384a
https://www.foody.vn/ho-chi-minh/hoang-ty-dac-san-trang-bang-nguyen-huu-cau,Bánh Canh Thịt Nạc + 1 Pepsi,123.000đ,https://down-bs-vn.img.susercontent.com/vn-11134517-820l4-mgbqcjve1nnx09
https://www.foody.vn/ho-chi-minh/hoang-ty-dac-san-trang-bang-nguyen-huu-cau,Bánh Canh Thịt Bắp + 1 Pepsi,123.000đ,https://down-bs-vn.img.susercontent.com/vn-11134517-820l4-mgbqalo8oz622b
https://www.foody.vn/ho-chi-minh/hoang-ty-dac-san-trang-bang-nguyen-huu-cau,Bánh Canh Giò Gân + 1 Pepsi,123.000đ,https://down-bs-vn.img.susercontent.com/vn-11134517-820l4-mgbqdpe8wm4vec
https://www.foody.vn/ho-chi-minh/hoang-ty-dac-san-trang-bang-nguyen-huu-cau,Bánh Tráng Thịt Bắp - 2 Người + 2 Pepsi,427.000đ,https://down-bs-vn.img.susercontent.com/vn-11134517-820l4-mgbqfylub09b87
https://www.foody.vn/ho-chi-minh/hoang-ty-dac-san-trang-bang-nguyen-huu-cau,Bánh Tráng Thịt Bắp - 2 Người,371.000đ,https://down-bs-vn.img.susercontent.com/vn-11134517-7r98o-lqxn0wtmevgkb6
https://www.foody.vn/ho-chi-minh/hoang-ty-dac-san-trang-bang-nguyen-huu-cau,Bánh Tráng Thịt Bắp - 1 Người,235.000đ,https://down-bs-vn.img.susercontent.com/vn-11134517-7r98o-lqx55zw4n8ux63
https://www.foody.vn/ho-chi-minh/hoang-ty-dac-san-trang-bang-nguyen-huu-cau,Bánh Tráng Thịt Bắp + Đùi,371.000đ,https://down-bs-vn.img.susercontent.com/vn-11134517-7r98o-lqxbm423z8hw2f
https://www.foody.vn/ho-chi-minh/hoang-ty-dac-san-trang-bang-nguyen-huu-cau,Bánh Tráng Tai Heo + Thịt Bắp,371.000đ,https://down-bs-vn.img.susercontent.com/vn-11134517-7r98o-lqxbbxxfrjycfc
https://www.foody.vn/ho-chi-minh/hoang-ty-dac-san-trang-bang-nguyen-huu-cau,Bánh Tráng Tai Heo - 1 Người,235.000đ,https://down-bs-vn.img.susercontent.com/vn-11134505-7ra0g-m9fezlygqvk4c3
https://www.foody.vn/ho-chi-minh/hoang-ty-dac-san-trang-bang-nguyen-huu-cau,Bánh Tráng Thịt Bắp + Nạc,371.000đ,https://down-bs-vn.img.susercontent.com/vn-11134517-7r98o-lqxbb0j6mwn896
https://www.foody.vn/ho-chi-minh/hoang-ty-dac-san-trang-bang-nguyen-huu-cau,Bánh Tráng Tai Heo - 2 Người,371.000đ,https://down-bs-vn.img.susercontent.com/vn-11134505-7ra0g-m9ff9s0n26bra3
https://www.foody.vn/ho-chi-minh/hoang-ty-dac-san-trang-bang-nguyen-huu-cau,Bánh Tráng Thịt Nạc - 1 Người,235.000đ,https://down-bs-vn.img.susercontent.com/vn-11134505-7ra0g-m9ff8d7lerfycd
https://www.foody.vn/ho-chi-minh/hoang-ty-dac-san-trang-bang-nguyen-huu-cau,Bánh Tráng Thịt Đùi - 2 Người,371.000đ,https://down-bs-vn.img.susercontent.com/vn-11134517-7r98o-lqxnnnxfsfk457
https://www.foody.vn/ho-chi-minh/hoang-ty-dac-san-trang-bang-nguyen-huu-cau,Bánh Tráng Thịt Đùi - 1 Người,235.000đ,https://down-bs-vn.img.susercontent.com/vn-11134505-7ra0g-m9ff19pdcoxwd2
https://www.foody.vn/ho-chi-minh/hoang-ty-dac-san-trang-bang-nguyen-huu-cau,Bánh Tráng Thịt Nạc - 2 Người,371.000đ,https://down-bs-vn.img.susercontent.com/vn-11134505-7ra0g-m9ff90u0u9hj11
https://www.foody.vn/ho-chi-minh/hoang-ty-dac-san-trang-bang-nguyen-huu-cau,Bánh Tráng Tai Heo + Thịt Đùi,371.000đ,https://down-bs-vn.img.susercontent.com/vn-11134517-7r98o-lqxfrl6tf9384a
https://www.foody.vn/ho-chi-minh/hoang-ty-dac-san-trang-bang-nguyen-huu-cau,Bánh Tráng Thịt Đùi + Thịt Nạc,371.000đ,https://down-bs-vn.img.susercontent.com/vn-11134517-7r98o-lqxbbxbsn83od0
https://www.foody.vn/ho-chi-minh/bun-mam-mien-tay-tran-quang-khai,Bún mắm đầy đủ,65.000đ,https://down-bs-vn.img.susercontent.com/vn-11134517-7ras8-m0vugncc638t2c
https://www.foody.vn/ho-chi-minh/bun-mam-mien-tay-tran-quang-khai,Mực,10.000đ,https://down-bs-vn.img.susercontent.com/vn-11134517-7r98o-lr36ucs20s6118
https://www.foody.vn/ho-chi-minh/bun-mam-mien-tay-tran-quang-khai,Tôm,10.000đ,https://down-bs-vn.img.susercontent.com/vn-11134517-7r98o-lr36ud8zc0jo4a
https://www.foody.vn/ho-chi-minh/bun-mam-mien-tay-tran-quang-khai,Chả cá,10.000đ,https://down-bs-vn.img.susercontent.com/vn-11134517-7r98o-lr36udrukejdab
https://www.foody.vn/ho-chi-minh/bun-mam-mien-tay-tran-quang-khai,Chả cua,10.000đ,https://down-bs-vn.img.susercontent.com/vn-11134517-7r98o-lqxy32twbtzt0b
https://www.foody.vn/ho-chi-minh/co-nam-banh-xeo-mien-tay,Bánh xèo rau rừng(quán sẽ lấy rau rừng),60.000đ,https://down-bs-vn.img.susercontent.com/vn-11134517-7r98o-lqvzxlbj3flw22
https://www.foody.vn/ho-chi-minh/co-nam-banh-xeo-mien-tay,Bánh khọt đậu xanh,40.000đ,https://down-bs-vn.img.susercontent.com/vn-11134517-7ra0g-m83dlk82v4oy8c
https://www.foody.vn/ho-chi-minh/co-nam-banh-xeo-mien-tay,Bánh khọt thịt bằm,55.000đ,https://down-bs-vn.img.susercontent.com/vn-11134517-7ra0g-ma13zs5qntkedd
https://www.foody.vn/ho-chi-minh/co-nam-banh-xeo-mien-tay,Bánh xèo 0939288488 nếu lỗi món,60.000đ,https://down-bs-vn.img.susercontent.com/vn-11134517-7ra0g-m83dksa9r03o4c
https://www.foody.vn/ho-chi-minh/co-nam-banh-xeo-mien-tay,Bún heo thịt xào,40.000đ,https://down-bs-vn.img.susercontent.com/vn-11134517-7r98o-lr2s63sx539gba
https://www.foody.vn/ho-chi-minh/co-nam-banh-xeo-mien-tay,Bánh khọt,60.000đ,https://down-bs-vn.img.susercontent.com/vn-11134517-7r98o-lqvzybuu9g9l31
https://www.foody.vn/ho-chi-minh/co-nam-banh-xeo-mien-tay,Gỏi cuốn tôm thịt,12.000đ,https://down-bs-vn.img.susercontent.com/vn-11134517-7r98o-lqvzyaydkyhle3
https://www.foody.vn/ho-chi-minh/co-nam-banh-xeo-mien-tay,Chả giò,16.000đ,https://down-bs-vn.img.susercontent.com/vn-11134517-7r98o-lr79hn12n26c84
https://www.foody.vn/ho-chi-minh/co-nam-banh-xeo-mien-tay,Nui xào bò,50.000đ,https://down-bs-vn.img.susercontent.com/vn-11134517-7r98o-lr2s57rhzkpl8e
https://www.foody.vn/ho-chi-minh/co-nam-banh-xeo-mien-tay,Miến Xào Tôm,60.000đ,https://down-bs-vn.img.susercontent.com/vn-11134517-7r98o-lr0gyaatr0k905
